
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:5354         127.0.0.1:56588        ESTABLISHED
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED
  TCP    127.0.0.1:51201        127.0.0.1:51202        ESTABLISHED
  TCP    127.0.0.1:51202        127.0.0.1:51201        ESTABLISHED
  TCP    127.0.0.1:51217        127.0.0.1:51218        ESTABLISHED
  TCP    127.0.0.1:51218        127.0.0.1:51217        ESTABLISHED
  TCP    127.0.0.1:51231        127.0.0.1:51232        ESTABLISHED
  TCP    127.0.0.1:51232        127.0.0.1:51231        ESTABLISHED
  TCP    127.0.0.1:51245        127.0.0.1:51246        ESTABLISHED
  TCP    127.0.0.1:51246        127.0.0.1:51245        ESTABLISHED
  TCP    127.0.0.1:51248        127.0.0.1:51249        ESTABLISHED
  TCP    127.0.0.1:51249        127.0.0.1:51248        ESTABLISHED
  TCP    127.0.0.1:51250        127.0.0.1:51251        ESTABLISHED
  TCP    127.0.0.1:51251        127.0.0.1:51250        ESTABLISHED
  TCP    127.0.0.1:51445        127.0.0.1:51446        ESTABLISHED
  TCP    127.0.0.1:51446        127.0.0.1:51445        ESTABLISHED
  TCP    127.0.0.1:51613        127.0.0.1:51614        ESTABLISHED
  TCP    127.0.0.1:51614        127.0.0.1:51613        ESTABLISHED
  TCP    127.0.0.1:52234        127.0.0.1:52235        ESTABLISHED
  TCP    127.0.0.1:52235        127.0.0.1:52234        ESTABLISHED
  TCP    127.0.0.1:52267        127.0.0.1:52268        ESTABLISHED
  TCP    127.0.0.1:52268        127.0.0.1:52267        ESTABLISHED
  TCP    127.0.0.1:52424        127.0.0.1:52425        ESTABLISHED
  TCP    127.0.0.1:52425        127.0.0.1:52424        ESTABLISHED
  TCP    127.0.0.1:56500        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56502        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56504        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56507        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56509        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56511        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56513        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56515        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56517        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56519        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56521        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56523        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56525        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56527        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56530        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56532        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56535        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56538        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56540        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56544        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56546        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56548        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56550        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56552        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56555        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56557        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56559        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56561        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56563        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56565        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56567        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56569        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56571        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56574        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56576        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56578        127.0.0.1:5354         TIME_WAIT
  TCP    127.0.0.1:56580        127.0.0.1:5354         TIME_WAIT
